"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Feb 1, 2025 12:55:18 PM PST","22738684761","Service Fee","6644a6d6-7b8c-409d-896a-0ea863ad0fad","","Coupon Redemption Fee: Save 5% on Stainless Steel s Hook","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Feb 2, 2025 6:47:21 AM PST","22738684761","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-115.57","0","-115.57"
"Feb 3, 2025 2:46:27 AM PST","22738684761","Order","113-3319398-7777857","GJ-JJ-01-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 10)","1","amazon.com","Standard Orders","Amazon","WEST HOLLYWOOD","CA","90069","MarketplaceFacilitator","12.99","1.26","0","0","0","0","0","0","-0.65","0","-1.26","-1.85","-3.24","0","0","7.25"
"Feb 3, 2025 2:48:45 AM PST","22738684761","Order","114-5440668-2426629","CF-JJ-02-B","owosald Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","PITTSBURGH","PA","15222","MarketplaceFacilitator","15.99","0.96","0","0","0","0","0","0","0","0","-0.96","-2.40","-3.65","0","0","9.94"
"Feb 3, 2025 6:42:58 PM PST","22738684761","Order","114-5440668-2426629","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","PITTSBURGH","PA","15222","MarketplaceFacilitator","11.99","0.68","0","0","0","0","0","0","-0.60","0","-0.68","-1.71","-3.33","0","0","6.35"
"Feb 3, 2025 6:42:58 PM PST","22738684761","Order","114-5440668-2426629","CF-JJ-02-B","owosald Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","PITTSBURGH","PA","15222","MarketplaceFacilitator","15.99","0.96","0","0","0","0","0","0","0","0","-0.96","-2.40","-3.65","0","0","9.94"
"Feb 3, 2025 10:30:58 PM PST","22840165901","Order","114-5440668-2426629","CF-JJ-02-B","owosald Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","PITTSBURGH","PA","15222","MarketplaceFacilitator","15.99","0.96","0","0","0","0","0","0","0","0","-0.96","-2.40","-3.65","0","0","9.94"
"Feb 4, 2025 12:42:07 PM PST","22840165901","Service Fee","6644a6d6-7b8c-409d-896a-0ea863ad0fad","","Coupon Redemption Fee: Save 5% on Stainless Steel s Hook","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Feb 4, 2025 3:04:48 PM PST","22840165901","Order","112-0875180-4645036","CF-JJ-02-B","owosald Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","HAMDEN","NY","13782","MarketplaceFacilitator","15.99","1.28","0","0","0","0","0","0","0","0","-1.28","-2.40","-3.65","0","0","9.94"
"Feb 4, 2025 7:35:41 PM PST","22840165901","Order","114-4794421-3918613","CF-JJ-02-B","owosald Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","BIRMINGHAM","AL","35243","MarketplaceFacilitator","15.99","1.28","0","0","0","0","0","0","0","0","-1.28","-2.40","-3.65","0","0","9.94"
