"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jan 1, 2025 7:00:15 PM PST","22520752331","Order","111-5635397-4577842","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","LIBERTY","MO","64068","MarketplaceFacilitator","11.99","1.05","0","0","0","0","0","0","0","0","-1.05","-1.80","-3.53","0","0","6.66"
"Jan 2, 2025 8:19:48 AM PST","22520752331","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-155.59","0","-155.59"
"Jan 3, 2025 9:29:17 AM PST","22520752331","Order","113-2435451-5833009","CF-JJ-02-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 20)","1","amazon.com","Standard Orders","Amazon","SACRAMENTO","CA","95826","MarketplaceFacilitator","16.99","1.32","0","0","0","0","0","0","0","0","-1.32","-2.55","-4.43","0","0","10.01"
"Jan 3, 2025 10:47:14 AM PST","22520752331","Refund","111-5635397-4577842","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","LIBERTY","MO","64068","MarketplaceFacilitator","-11.99","-1.05","0","0","0","0","0","0","0","0","1.05","1.44","0","0","0","-10.55"
"Jan 3, 2025 6:35:51 PM PST","22520752331","Refund","113-5951299-6813048","CF-JJ-02-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 20)","1","amazon.com","Standard Orders","Amazon","NEW MILFORD","NJ","07646","MarketplaceFacilitator","-16.99","-1.07","0","0","0","0","0","0","0.85","0","1.07","1.94","0","0","0","-14.20"
"Jan 3, 2025 9:42:28 PM PST","22520752331","Order","113-1527842-8914654","CF-JJ-02-B","owosald Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","2","amazon.com","Standard Orders","Amazon","HEBRON","MD","21830","MarketplaceFacilitator","31.98","1.92","0","0","0","0","0","0","0","0","-1.92","-4.80","-7.74","0","0","19.44"
"Jan 4, 2025 10:05:04 AM PST","22520752331","Order","113-4487194-8781013","GJ-JJ-01-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 10)","1","amazon.com","Standard Orders","Amazon","SAN ANTONIO","TX","78216","MarketplaceFacilitator","12.99","1.07","0.26","0","0","0","0","0","-0.26","0","-1.07","-1.95","-3.44","0","0","7.60"
"Jan 4, 2025 1:30:35 PM PST","22520752331","Order","114-0418790-1658623","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","MARTINSBURG","WV","25404","MarketplaceFacilitator","11.99","0.72","0","0","0","0","0","0","0","0","-0.72","-1.80","-3.53","0","0","6.66"
"Jan 5, 2025 5:07:31 PM PST","22520752331","Order","112-3997645-2129802","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","OAK PARK","IL","60302","MarketplaceFacilitator","11.99","1.20","0","0","0","0","0","0","0","0","-1.20","-1.80","-3.53","0","0","6.66"
"Jan 6, 2025 1:17:11 AM PST","22520752331","Service Fee","","","Subscription","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-18.64","-18.64"
