"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jul 1, 2025 1:00:46 PM PDT","23874919521","Order","111-6968772-3727464","GJ-JJ-01-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 10)","1","amazon.com","Standard Orders","Amazon","LAKE ORION","MI","48359","MarketplaceFacilitator","12.34","0.74","0","0","0","0","0","0","0","0","-0.74","-1.85","-3.24","0","0","7.25"
"Jul 1, 2025 1:07:44 PM PDT","23874919521","Order","111-4188286-0860255","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","ALBUQUERQUE","NM","87112","MarketplaceFacilitator","11.39","0.83","0","0","0","0","0","0","-0.57","0","-0.83","-1.62","-3.33","0","0","5.87"
"Jul 1, 2025 1:42:15 PM PDT","23874919521","Order","114-2417112-9652245","WS-01DD-8TB","Wall Mounted Makeup Mirror, 1X/10X Magnifying, 360° Rotation, 3 Color LED Lighting, Touch Screen Dimming, Extended Arm, Black Bathroom Mirror","1","amazon.com","Standard Orders","Amazon","Smyrna","TN","37167","MarketplaceFacilitator","31.99","2.96","0","0","0","0","0","0","-1.60","0","-2.96","-4.56","-6.16","0","0","19.67"
"Jul 2, 2025 12:18:18 AM PDT","23874919521","Order","113-2617440-7623424","SYJ01-40","owosald 16.5""(40cm) Round Infinity Mirror Light, Black Wall Mounted Abyss Decorative Mirror, Multiple Light Changes","1","amazon.com","Standard Orders","Amazon","LEXINGTON","KY","40511","MarketplaceFacilitator","129.99","7.80","0","0","0","0","0","0","0","0","-7.80","-19.50","-12.76","0","0","97.73"
"Jul 2, 2025 6:19:14 AM PDT","23874919521","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-350.13","0","-350.13"
"Jul 2, 2025 10:35:25 AM PDT","23874919521","Order","111-3361044-5278618","GJ-JJ-01-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 10)","1","amazon.com","Standard Orders","Amazon","NEWARK","DE","19711","","11.99","0","0","0","0","0","0","0","0","0","0","-1.80","-3.24","0","0","6.95"
"Jul 3, 2025 4:12:02 PM PDT","23874919521","Order","114-9111330-2241034","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","BEAVERTON","OR","97005","","11.39","0","0","0","0","0","0","0","0","0","0","-1.71","-3.33","0","0","6.35"
"Jul 3, 2025 8:20:59 PM PDT","23983072191","Order","111-1491935-5870617","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","CEDAR HILL","TX","75104","MarketplaceFacilitator","15.19","1.19","1.49","0.12","0","0","0","0","-0.76","0","-1.31","-2.16","-5.14","0","0","8.62"
"Jul 3, 2025 8:52:42 PM PDT","23983072191","Order","114-3606666-7953859","WS-01DD-8TC","8"" Wall Mounted Rechargeable Lighted Makeup Mirror, 1X/10X Magnifying, 360° Rotation, 3 Color LED Lighting, Touch Screen Dimming, Extended Arm, Chrom","1","amazon.com","Standard Orders","Amazon","SAN ANTONIO","TX","78245","MarketplaceFacilitator","32.99","2.59","0","0","0","0","0","0","-1.65","0","-2.59","-4.70","-6.16","0","0","20.48"
"Jul 4, 2025 2:50:44 AM PDT","23983072191","Order","112-2670733-7313847","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","SEATTLE","WA","98112","MarketplaceFacilitator","15.19","1.49","0","0","0","0","0","0","-0.76","0","-1.49","-2.16","-3.65","0","0","8.62"
