"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jun 1, 2025 2:45:24 AM PDT","23696773201","Order","113-8181290-6762664","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","3","amazon.com","Standard Orders","Amazon","CHICAGO","IL","60654","MarketplaceFacilitator","47.97","4.41","0","0","0","0","0","0","-4.80","0","-4.41","-6.48","-10.95","0","0","25.74"
"Jun 1, 2025 12:55:54 PM PDT","23696773201","Order","111-9292455-2879408","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","APO","AE","09366","MarketplaceFacilitator","15.99","0","0","0","0","0","0","0","-1.60","0","0","-2.16","-3.65","0","0","8.58"
"Jun 1, 2025 12:56:16 PM PDT","23696773201","Service Fee","3139f704-120f-40d0-83f0-086abf44240b","","Coupon Redemption Fee: Save 10% on Pot hooks","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Jun 1, 2025 2:11:21 PM PDT","23696773201","Order","113-8171547-3588253","CF-JJ-02-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 20)","1","amazon.com","Standard Orders","Amazon","WINTER HAVEN","FL","33881","MarketplaceFacilitator","16.99","1.07","0.99","0","0","0","0","0","-2.69","0","-1.07","-2.29","-4.15","0","0","8.85"
"Jun 2, 2025 1:56:51 AM PDT","23091373191","Transfer","","","To your account ending in: 145, Bank Transfer ID: PROCESSED_US_USD_20250602_000001_3H.csv","","","Invoiced Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-9.44","-9.44"
"Jun 2, 2025 5:32:58 AM PDT","23696773201","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-84.05","0","-84.05"
"Jun 2, 2025 8:26:53 AM PDT","23696773201","Order","114-0469706-0774659","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","Hattiesburg","Ms","39401","MarketplaceFacilitator","11.99","0.76","0","0","0","0","0","0","-1.20","0","-0.76","-1.62","-3.33","0","0","5.84"
"Jun 2, 2025 10:20:44 AM PDT","23696773201","Order","112-6687421-9107418","WS-01DD-8TB","Wall Mounted Makeup Mirror, 1X/10X Magnifying, 360° Rotation, 3 Color LED Lighting, Touch Screen Dimming, Extended Arm, Black Bathroom Mirror","1","amazon.com","Standard Orders","Amazon","LAKELAND","FL","33813","MarketplaceFacilitator","48.99","2.06","0","0","0","0","0","0","-19.60","0","-2.06","-4.41","-6.16","0","0","18.82"
"Jun 2, 2025 12:46:11 PM PDT","23696773201","Service Fee","24c5feef-0edc-48bd-be47-069f32210712","","Coupon Redemption Fee: Save 40% on makeup mirror","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Jun 2, 2025 12:58:16 PM PDT","23696773201","Service Fee","3139f704-120f-40d0-83f0-086abf44240b","","Coupon Redemption Fee: Save 10% on Pot hooks","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Jun 2, 2025 4:22:24 PM PDT","23696773201","Refund","113-5347839-7653022","SYJ01-40","owosald 16.5""(40cm) Round Infinity Mirror Light, Black Wall Mounted Abyss Decorative Mirror, Multiple Light Changes","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11222","MarketplaceFacilitator","-99.99","0","0","0","0","0","0","0","0","0","0","12.00","0","0","0","-87.99"
"Jun 3, 2025 3:27:49 AM PDT","23696773201","Order","113-8505927-9975428","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","2","amazon.com","Standard Orders","Amazon","SCOTT CITY","MO","63780","MarketplaceFacilitator","31.98","2.16","0","0","0","0","0","0","-3.20","0","-2.16","-4.32","-7.30","0","0","17.16"
"Jun 3, 2025 3:29:23 AM PDT","23696773201","Order","114-5905932-5748217","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","GROVE","OK","74344","MarketplaceFacilitator","11.99","0.67","0","0","0","0","0","0","-1.20","0","-0.67","-1.62","-3.33","0","0","5.84"
"Jun 3, 2025 6:14:14 AM PDT","23696773201","Refund","111-7879213-9990650","GJ-JJ-01-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 10)","1","amazon.com","Standard Orders","Amazon","GARDEN GROVE","CA","92841","MarketplaceFacilitator","-12.99","-1.02","0","0","0","0","0","0","1.30","0","1.02","1.40","0","0","0","-10.29"
"Jun 3, 2025 12:53:14 PM PDT","23696773201","Service Fee","3139f704-120f-40d0-83f0-086abf44240b","","Coupon Redemption Fee: Save 10% on Pot hooks","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Jun 3, 2025 6:46:40 PM PDT","23696773201","Order","111-8159401-7613804","CF-JJ-02-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 20)","1","amazon.com","Standard Orders","Amazon","NEW YORK","NY","10002","MarketplaceFacilitator","16.99","1.36","0","0","0","0","0","0","-1.70","0","-1.36","-2.29","-4.15","0","0","8.85"
"Jun 3, 2025 8:21:36 PM PDT","23696773201","Order","114-2144151-7608247","CF-JJ-02-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 20)","1","amazon.com","Standard Orders","Amazon","INDIANAPOLIS","IN","46218","MarketplaceFacilitator","16.99","1.19","0","0","0","0","0","0","0","0","-1.19","-2.55","-4.15","0","0","10.29"
"Jun 3, 2025 11:50:04 PM PDT","23696773201","Order","S01-8770651-6830853","TS-01-8SC","owosald 8"" Adjustable Height Tabletop Makeup Mirror, 1X/10X Magnification, USB Rechargeable 2000mAh, Chrome, 360° Rotation","1","sim1.stores.amazon.com","Standard Orders","Amazon","MAULDIN","SC","29662","","0","0","0","0","0","0","0","0","0","0","0","0","-11.45","0","0","-11.45"
"Jun 4, 2025 12:09:26 AM PDT","23696773201","Order","S01-7057884-8824438","TS-01-8PB","owosald 8"" Tabletop Lighted Makeup Mirror, 1X/10X Magnification, USB Rechargeable 2000mAh, Black, Adjustable Brightness, 360° Rotation","1","sim1.stores.amazon.com","Standard Orders","Amazon","NEW PORT RICHEY","FL","34654","","0","0","0","0","0","0","0","0","0","0","0","0","-11.45","0","0","-11.45"
"Jun 4, 2025 11:05:12 AM PDT","23696773201","Order","111-1337541-0193032","CF-JJ-02-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 20)","1","amazon.com","Standard Orders","Amazon","BRANDON","FL","33510","MarketplaceFacilitator","16.99","1.27","6.57","0","0","0","0","0","0","0","-1.27","-2.55","-10.72","0","0","10.29"
"Jun 4, 2025 12:43:25 PM PDT","23696773201","Service Fee","24c5feef-0edc-48bd-be47-069f32210712","","Coupon Redemption Fee: Save 40% on makeup mirror","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Jun 4, 2025 12:53:34 PM PDT","23696773201","Service Fee","3139f704-120f-40d0-83f0-086abf44240b","","Coupon Redemption Fee: Save 10% on Pot hooks","3","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.80","0","-1.80"
"Jun 5, 2025 7:05:43 AM PDT","23696773201","Order","S01-2832088-3374819","TS-01WD9C","owosald 9"" Tabletop Magnifying Mirror with 1X/10X Magnification, Chrome, 360° Rotatable Vanity Mirror for Girls, Beauty, Makeup and Grooming","1","sim1.stores.amazon.com","Standard Orders","Amazon","DORAL","FL","33172","","0","0","0","0","0","0","0","0","0","0","0","0","-11.34","0","0","-11.34"
"Jun 5, 2025 9:35:38 AM PDT","23696773201","Order","S01-5438302-0835616","TS-01-8SB","owosald 8"" Adjustable Height Makeup Mirror with Lights, 1X/10X Magnification, USB Rechargeable 2000mAh, Black, 360° Rotation","1","sim1.stores.amazon.com","Standard Orders","Amazon","STERLING HEIGHTS","MI","48313","","0","0","0","0","0","0","0","0","0","0","0","0","-11.45","0","0","-11.45"
"Jun 5, 2025 12:44:54 PM PDT","23696773201","Service Fee","24c5feef-0edc-48bd-be47-069f32210712","","Coupon Redemption Fee: Save 40% on makeup mirror","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
