"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 1, 2025 8:59:42 PM PST","22946980061","Order","S01-4144206-1532427","TS-01-8PC","owosald 8"" Tabletop Lighted Makeup Mirror, 1X/10X Magnification, USB Rechargeable 2000mAh, Chrome, Adjustable Brightness, 360° Rotation","1","sim1.stores.amazon.com","Standard Orders","Amazon","PATASKALA","OH","43062","","0","0","0","0","0","0","0","0","0","0","0","0","-11.45","0","0","-11.45"
"Mar 2, 2025 4:21:54 AM PST","22946980061","Order","S01-3133478-9411608","WS-01DD-8TC","owosald 8-Inch Wall Mounted Rechargeable Lighted Makeup Mirror, 1X/10X Magnifying, 360° Rotation, 3 Color LED Lighting, Touch Screen Dimming, Extended Arm, Chrome Bathroom Mirror","1","sim1.stores.amazon.com","Standard Orders","Amazon","JACKSONVILLE","FL","32256","","0","0","0","0","0","0","0","0","0","0","0","0","-11.45","0","0","-11.45"
"Mar 2, 2025 7:47:57 AM PST","22946980061","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-149.33","0","-149.33"
"Mar 2, 2025 9:17:13 AM PST","22946980061","Order","111-5714756-1821819","GJ-JJ-01-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 10)","1","amazon.com","Standard Orders","Amazon","BOAZ","AL","35956","MarketplaceFacilitator","12.99","0.99","0","0","0","0","0","0","-0.65","0","-0.99","-1.85","-3.24","0","0","7.25"
"Mar 2, 2025 11:24:03 PM PST","22946980061","Order","S01-7076878-5974015","WS-01DD-8TC","owosald 8-Inch Wall Mounted Rechargeable Lighted Makeup Mirror, 1X/10X Magnifying, 360° Rotation, 3 Color LED Lighting, Touch Screen Dimming, Extended Arm, Chrome Bathroom Mirror","1","sim1.stores.amazon.com","Standard Orders","Amazon","HIDALGO","TX","78557","","0","0","0","0","0","0","0","0","0","0","0","0","-11.45","0","0","-11.45"
"Mar 3, 2025 1:27:24 AM PST","22946980061","Order","S01-7433085-9046843","TS-01-8PB","owosald 8"" Tabletop Lighted Makeup Mirror, 1X/10X Magnification, USB Rechargeable 2000mAh, Black, Adjustable Brightness, 360° Rotation","1","sim1.stores.amazon.com","Standard Orders","Amazon","ITHACA","NY","14850","","0","0","0","0","0","0","0","0","0","0","0","0","-11.45","0","0","-11.45"
"Mar 3, 2025 4:10:37 AM PST","22946980061","Order","S01-7774248-8909227","TS-01-8PC","owosald 8"" Tabletop Lighted Makeup Mirror, 1X/10X Magnification, USB Rechargeable 2000mAh, Chrome, Adjustable Brightness, 360° Rotation","1","sim1.stores.amazon.com","Standard Orders","Amazon","BELTON","MO","64012","","0","0","0","0","0","0","0","0","0","0","0","0","-11.45","0","0","-11.45"
"Mar 3, 2025 7:14:35 AM PST","22946980061","Order","S01-2863171-2976469","WS-01DD-8TC","owosald 8-Inch Wall Mounted Rechargeable Lighted Makeup Mirror, 1X/10X Magnifying, 360° Rotation, 3 Color LED Lighting, Touch Screen Dimming, Extended Arm, Chrome Bathroom Mirror","1","sim1.stores.amazon.com","Standard Orders","Amazon","MILES CITY","MT","59301","","0","0","0","0","0","0","0","0","0","0","0","0","-11.45","0","0","-11.45"
"Mar 3, 2025 8:02:15 AM PST","22946980061","Order","114-3310542-5164229","CF-JJ-02-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 20)","1","amazon.com","Standard Orders","Amazon","George","WA","98824","MarketplaceFacilitator","16.99","1.50","0","0","0","0","0","0","0","0","-1.50","-2.55","-4.15","0","0","10.29"
"Mar 3, 2025 2:05:00 PM PST","22946980061","Service Fee","9716b94c-6023-46d7-8b32-a39847fc0142","","Coupon Redemption Fee: Save 5% on Stainless Steel s Hook","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
