"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"May 2, 2025 1:31:16 AM PDT","23483921751","Order","114-6488502-9424267","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","ROCKWALL","TX","75032","MarketplaceFacilitator","10.99","0.91","1.22","0","0","0","0","0","-1.22","0","-0.91","-1.65","-3.33","0","0","6.01"
"May 2, 2025 6:16:23 AM PDT","23483921751","Service Fee","FBA18Q052MYT","","FBA Inbound Placement Service Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.49","-0.49"
"May 2, 2025 7:01:16 AM PDT","23483921751","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-216.14","0","-216.14"
"May 2, 2025 1:56:04 PM PDT","23483921751","Order","113-5801088-9893036","WS-01DD-8TB","Wall Mounted Makeup Mirror, 1X/10X Magnifying, 360° Rotation, 3 Color LED Lighting, Touch Screen Dimming, Extended Arm, Black Bathroom Mirror","1","amazon.com","Standard Orders","Amazon","COUDERSPORT","PA","16915","MarketplaceFacilitator","48.99","1.76","0","0","0","0","0","0","-19.60","0","-1.76","-4.41","-6.16","0","0","18.82"
"May 2, 2025 2:08:45 PM PDT","23483921751","Order","113-0961327-1260264","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","MEDORA","ND","58645","MarketplaceFacilitator","15.99","1.20","0","0","0","0","0","0","0","0","-1.20","-2.40","-3.65","0","0","9.94"
"May 2, 2025 4:12:12 PM PDT","23483921751","Service Fee","f34234e3-8b5a-4b5f-8167-ed5c31920d3c","","Coupon Redemption Fee: Save 20% on Pot hooks","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"May 2, 2025 5:50:29 PM PDT","23483921751","Order","113-0542617-6232236","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","Virginia Beach","VA","23454","MarketplaceFacilitator","15.99","0.77","0","0","0","0","0","0","-3.20","0","-0.77","-1.92","-3.65","0","0","7.22"
"May 3, 2025 11:16:22 AM PDT","23483921751","Order","112-0950636-9362638","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","BELEN","NM","87002","MarketplaceFacilitator","14.99","0.99","0.43","0.03","0","0","0","0","0","0","-1.02","-2.25","-4.08","0","0","9.09"
"May 3, 2025 4:01:14 PM PDT","23483921751","Service Fee","f34234e3-8b5a-4b5f-8167-ed5c31920d3c","","Coupon Redemption Fee: Save 20% on Pot hooks","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"May 3, 2025 6:01:32 PM PDT","23483921751","Order","112-0919155-3479465","CF-JJ-02-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 20)","1","amazon.com","Standard Orders","Amazon","SEATTLE","WA","98125","MarketplaceFacilitator","16.99","1.41","0","0","0","0","0","0","-3.40","0","-1.41","-2.04","-4.15","0","0","7.40"
"May 4, 2025 12:50:59 AM PDT","23483921751","Order","112-8500729-2912264","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","GRETNA","LA","70053","MarketplaceFacilitator","11.99","1.17","0","0","0","0","0","0","0","0","-1.17","-1.80","-3.33","0","0","6.86"
"May 4, 2025 7:20:05 AM PDT","23483921751","Order","112-9567747-6825050","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","INDEPENDENCE","VA","24348","MarketplaceFacilitator","15.99","0.68","0","0","0","0","0","0","-3.20","0","-0.68","-1.92","-3.65","0","0","7.22"
"May 4, 2025 3:28:54 PM PDT","23483921751","Order","113-8239132-9517849","GJ-JJ-01-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 10)","2","amazon.com","Standard Orders","Amazon","Las Vegas","NV","89115","MarketplaceFacilitator","25.98","0","0","0","0","0","0","0","0","0","0","-3.90","-6.48","0","0","15.60"
"May 4, 2025 9:12:21 PM PDT","23483921751","Order","111-5465580-4259409","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","DENVER","CO","80237","MarketplaceFacilitator","15.99","1.17","0","0","0","0","0","0","-3.20","0","-1.17","-1.92","-3.65","0","0","7.22"
"May 4, 2025 9:15:20 PM PDT","23483921751","Order","S01-1082294-2221221","TS-01-8PC","owosald 8"" Tabletop Lighted Makeup Mirror, 1X/10X Magnification, USB Rechargeable 2000mAh, Chrome, Adjustable Brightness, 360° Rotation","1","sim1.stores.amazon.com","Standard Orders","Amazon","HUNTINGTON BEACH","CA","92649","","0","0","0","0","0","0","0","0","0","0","0","0","-11.45","0","0","-11.45"
"May 4, 2025 10:19:56 PM PDT","23483921751","Order","114-0935910-7077817","SYJ01-40","owosald 16.5""(40cm) Round Infinity Mirror Light, Black Wall Mounted Abyss Decorative Mirror, Multiple Light Changes","1","amazon.com","Standard Orders","Amazon","SHOSHONE","ID","83352","MarketplaceFacilitator","99.99","6.00","6.99","0","0","0","0","0","-6.99","0","-6.00","-15.00","-12.38","0","0","72.61"
