date/time,total
"Apr 1, 2025 12:19:52 AM PDT",7.25
"Apr 1, 2025 2:50:40 PM PDT",-2.4
"Apr 1, 2025 5:29:05 AM PDT",27.99
"Apr 1, 2025 9:11:45 AM PDT",-11.45
"Apr 10, 2025 11:28:46 PM PDT",7.22
"Apr 10, 2025 12:56:20 PM PDT",9.94
"Apr 10, 2025 1:29:22 AM PDT",7.22
"Apr 10, 2025 2:51:41 PM PDT",7.22
"Apr 10, 2025 2:57:21 PM PDT",-0.6
"Apr 10, 2025 3:58:08 PM PDT",-0.6
"Apr 10, 2025 7:23:05 AM PDT",7.8
"Apr 11, 2025 11:21:09 PM PDT",72.61
"Apr 11, 2025 12:23:33 AM PDT",6.35
"Apr 11, 2025 3:55:51 PM PDT",-0.6
"Apr 11, 2025 4:08:31 PM PDT",-0.6
"Apr 12, 2025 3:51:01 PM PDT",-1.8
"Apr 13, 2025 12:53:54 AM PDT",7.22
"Apr 13, 2025 1:15:25 PM PDT",-27.0
"Apr 13, 2025 3:06:00 AM PDT",6.35
"Apr 13, 2025 4:00:12 PM PDT",-0.6
"Apr 13, 2025 5:14:22 AM PDT",-27.0
"Apr 13, 2025 6:18:19 PM PDT",19.88
"Apr 14, 2025 10:36:36 PM PDT",209.9
"Apr 14, 2025 12:16:32 PM PDT",9.94
"Apr 14, 2025 1:04:15 AM PDT",6.01
"Apr 14, 2025 2:55:51 AM PDT",6.35
"Apr 14, 2025 3:08:12 AM PDT",6.35
"Apr 14, 2025 3:43:08 PM PDT",7.22
"Apr 14, 2025 3:45:19 PM PDT",-0.6
"Apr 14, 2025 3:59:42 PM PDT",7.22
"Apr 14, 2025 4:00:22 PM PDT",-1.2
"Apr 14, 2025 4:14:07 AM PDT",9.94
"Apr 14, 2025 7:48:53 PM PDT",6.35
"Apr 14, 2025 7:55:37 AM PDT",9.94
"Apr 14, 2025 8:22:55 PM PDT",6.35
"Apr 15, 2025 11:25:43 AM PDT",6.86
"Apr 15, 2025 12:58:10 PM PDT",6.35
"Apr 16, 2025 10:10:19 PM PDT",6.86
"Apr 16, 2025 3:19:21 PM PDT",-0.6
"Apr 16, 2025 3:33:51 PM PDT",-0.6
"Apr 16, 2025 3:39:33 PM PDT",7.4
"Apr 17, 2025 11:25:11 AM PDT",9.94
"Apr 17, 2025 2:50:23 AM PDT",7.22
"Apr 17, 2025 3:34:14 PM PDT",6.86
"Apr 17, 2025 3:44:56 PM PDT",-1.2
"Apr 17, 2025 4:06:12 PM PDT",-0.6
"Apr 17, 2025 7:45:10 AM PDT",6.35
"Apr 17, 2025 9:15:11 PM PDT",47.11
"Apr 18, 2025 1:00:08 PM PDT",6.86
"Apr 18, 2025 3:45:49 PM PDT",-0.6
"Apr 18, 2025 4:00:04 PM PDT",-0.6
"Apr 18, 2025 6:03:12 AM PDT",7.8
"Apr 18, 2025 7:41:12 PM PDT",-350.23
