聚合日期,settlement id,quantity,order postal,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
2025-01-01,22520752331,1.0,64068.0,11.99,1.05,0.0,0.0,0,0,0,0,0.0,0,-1.05,-1.8,-3.53,0.0,0.0,6.66
2025-01-02,22520752331,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-155.59,0.0,-155.59
2025-01-03,90083009324,5.0,189370.0,19.990000000000002,1.1199999999999999,0.0,0.0,0,0,0,0,0.85,0,-1.1199999999999999,-3.9699999999999998,-12.17,0.0,0.0,4.700000000000001
2025-01-04,45041504662,2.0,103620.0,24.98,1.79,0.26,0.0,0,0,0,0,-0.26,0,-1.79,-3.75,-6.97,0.0,0.0,14.26
2025-01-05,22520752331,1.0,60302.0,11.99,1.2,0.0,0.0,0,0,0,0,0.0,0,-1.2,-1.8,-3.53,0.0,0.0,6.66
2025-01-06,45164208042,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,3.5500000000000007,3.5500000000000007
2025-01-07,22643455711,1.0,49837.0,11.99,0.72,0.0,0.0,0,0,0,0,0.0,0,-0.72,-1.8,-3.53,0.0,0.0,6.66
2025-01-08,90573822844,4.0,144335.0,48.96,3.23,0.27,0.0,0,0,0,0,-0.27,0,-3.23,-7.35,-14.03,0.0,-15.7,11.88
2025-01-09,22643455711,2.0,65611.0,25.98,1.68,2.78,0.0,0,0,0,0,-2.78,0,-1.68,-3.9,-6.88,0.0,0.0,15.2
2025-01-11,22643455711,1.0,84105.0,11.99,0.99,0.52,0.0,0,0,0,0,-0.52,0,-0.99,-1.8,-3.53,0.0,0.0,6.66
2025-01-13,22643455711,1.0,11226.0,12.99,1.1,0.0,0.0,0,0,0,0,-0.65,0,-1.1,-1.85,-3.44,0.0,0.0,7.05
2025-01-14,22643455711,1.0,34983.0,16.99,1.13,0.0,0.0,0,0,0,0,-0.85,0,-1.13,-2.42,-4.43,0.0,0.0,9.29
2025-01-15,22643455711,1.0,33126.0,16.99,1.19,0.0,0.0,0,0,0,0,0.0,0,-1.19,-2.55,-4.15,0.0,0.0,10.29
2025-01-16,22643455711,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-0.6,0.0,-0.6
2025-01-18,22643455711,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-0.6,0.0,-0.6
2025-01-19,22643455711,1.0,43082.0,12.99,0.91,0.0,0.0,0,0,0,0,0.0,0,-0.91,-1.95,-3.65,0.0,0.0,7.39
2025-01-20,45382140472,2.0,140880.0,22.08,1.9900000000000002,0.0,0.0,0,0,0,0,-0.45,0,-1.9900000000000002,-3.25,-6.12,0.0,0.0,12.26
2025-01-21,22738684761,1.0,71105.0,9.09,0.72,0.0,0.0,0,0,0,0,-0.45,0,-0.72,-1.3,-2.47,0.0,0.0,4.87
2025-01-22,45477369522,1.0,95826.0,14.99,1.16,0.0,0.0,0,0,0,0,0.0,0,-1.16,-2.25,-4.15,0.0,-39.2,-30.610000000000003
2025-01-23,45477369522,2.0,76796.0,22.08,1.3900000000000001,0.0,0.0,0,0,0,0,0.0,0,-1.3900000000000001,-3.31,-6.12,0.0,0.0,12.649999999999999
2025-01-24,68216054283,3.0,123967.0,0.0,0.14,0.0,0.0,0,0,0,0,0.6,0,-0.14,-0.42999999999999994,-3.33,-0.6,0.0,-3.759999999999999
2025-01-25,68216054283,3.0,188613.0,29.98,2.13,3.05,0.0,0,0,0,0,-3.05,0,-2.13,-4.5,-8.3,-0.6,0.0,16.58
2025-01-26,22738684761,1.0,45106.0,12.99,0.83,0.0,0.0,0,0,0,0,-0.65,0,-0.83,-1.85,-3.65,0.0,0.0,6.84
2025-01-27,22738684761,1.0,43160.0,9.09,0.63,0.0,0.0,0,0,0,0,-0.45,0,-0.63,-1.3,-2.47,0.0,0.0,4.87
2025-01-29,45477369522,2.0,98053.0,9.09,0.76,0.0,0.0,0,0,0,0,-0.45,0,-0.76,-1.3,-2.47,-0.6,0.0,4.2700000000000005
2025-01-30,45477369522,2.0,45106.0,-12.99,-0.83,0.0,0.0,0,0,0,0,0.65,0,0.83,1.48,0.0,-0.6,0.0,-11.459999999999999
2025-01-31,22738684761,1.0,2131.0,11.99,0.71,0.0,0.0,0,0,0,0,-0.6,0,-0.71,-1.71,-3.33,0.0,0.0,6.35
2025-02-01,22738684761,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-0.6,0.0,-0.6
2025-02-02,22738684761,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-115.57,0.0,-115.57
2025-02-03,113794904945,5.0,150957.0,72.95,4.82,0.0,0.0,0,0,0,0,-1.25,0,-4.82,-10.76,-17.52,0.0,0.0,43.42
2025-02-04,68520497703,3.0,49025.0,31.98,2.56,0.0,0.0,0,0,0,0,0.0,0,-2.56,-4.8,-7.3,-0.6,0.0,19.28
2025-02-06,45680331802,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-0.6,-18.57,-19.17
2025-02-07,68520497703,2.0,46808.0,11.99,0.8,0.0,0.0,0,0,0,0,-0.6,0,-0.8,-1.71,-3.33,-0.6,-13.16,-7.41
2025-02-09,45680331802,3.0,51125.0,43.97,3.12,0.0,0.0,0,0,0,0,-2.2,0,-3.12,-6.27,-10.629999999999999,0.0,0.0,24.869999999999997
2025-02-11,45680331802,2.0,80603.0,11.99,0.83,0.0,0.0,0,0,0,0,0.0,0,-0.83,-1.8,-3.33,-0.6,0.0,6.260000000000001
2025-02-12,22840165901,1.0,85730.0,11.99,1.04,0.0,0.0,0,0,0,0,0.0,0,-1.04,-1.8,-3.33,0.0,0.0,6.86
2025-02-13,22840165901,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-1.2,0.0,-1.2
2025-02-15,22840165901,1.0,28562.0,11.99,0.81,0.0,0.0,0,0,0,0,0.0,0,-0.81,-1.8,-3.33,0.0,0.0,6.86
2025-02-16,22840165901,1.0,56308.0,36.99,2.73,0.0,0.0,0,0,0,0,0.0,0,-2.73,-5.55,-6.21,0.0,0.0,25.23
2025-02-17,45680331802,2.0,73283.0,23.98,1.52,0.0,0.0,0,0,0,0,-0.6,0,-1.52,-3.51,-6.66,0.0,0.0,13.21
2025-02-19,109590378115,5.0,335819.0,55.510000000000005,1.11,0.0,0.0,0,0,0,0,-0.6,0,-1.11,-8.23,-16.65,0.0,-20.58,9.450000000000003
2025-02-20,22946980061,1.0,35769.0,11.99,0.96,0.0,0.0,0,0,0,0,0.0,0,-0.96,-1.8,-3.33,0.0,0.0,6.86
2025-02-21,91787920244,4.0,221252.0,24.98,2.06,0.0,0.0,0,0,0,0,-0.65,0,-2.06,-3.6500000000000004,-18.02,-0.6,0.0,2.060000000000001
2025-02-22,22946980061,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-0.6,0.0,-0.6
2025-02-23,44278318892,1.0,10013.0,16.99,1.43,0.0,0.0,0,0,0,0,-0.85,0,-1.43,-2.42,-4.15,0.0,-23.68,-14.11
2025-02-24,68840940183,3.0,162725.0,31.98,2.33,0.99,0.0,0,0,0,0,-2.59,0,-2.33,-4.56,-7.3,-0.6,0.0,17.919999999999998
2025-02-25,68840940183,3.0,51571.0,11.99,0.96,0.0,0.0,0,0,0,0,0.0,0,-0.96,-1.8,-14.78,0.0,6.86,2.2700000000000014
2025-02-26,114734900305,5.0,172507.0,10.99,0.91,0.02,0.0,0,0,0,0,-0.02,0,-0.91,-1.65,-49.019999999999996,0.0,0.0,-39.68
2025-02-27,114734900305,7.0,199637.0,53.96,3.75,0.0,0.0,0,0,0,0,-0.8,0,-3.75,-7.9799999999999995,-13.46,-1.8,0.0,29.92
2025-02-28,45893960122,11.0,11724.0,12.99,1.12,0.0,0.0,0,0,0,0,0.0,0,-1.12,-1.95,-3.64,0.0,0.0,7.3999999999999995
2025-03-01,22946980061,1.0,43062.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,-11.45,0.0,0.0,-11.45
2025-03-02,91787920244,3.0,146769.0,12.99,0.99,0.0,0.0,0,0,0,0,-0.65,0,-0.99,-1.85,-26.14,-149.33,0.0,-164.98
2025-03-03,206757736649,9.0,291467.0,53.96,3.66,0.0,0.0,0,0,0,0,-1.85,0,-3.66,-7.82,-59.849999999999994,-0.6,80.23,64.07000000000001
2025-03-04,69193314333,3.0,158117.0,-12.99,-1.12,0.0,0.0,0,0,0,0,0.0,0,1.12,1.56,-22.9,0.0,0.0,-34.33
2025-03-05,69193314333,3.0,128337.0,11.99,0.72,6.99,0.0,0,0,0,0,-6.99,0,-0.72,-1.8,-14.78,-0.6,0.0,-5.189999999999999
