"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Apr 1, 2025 12:19:52 AM PDT","23267893001","Order","111-8970001-0449028","GJ-JJ-01-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 10)","1","amazon.com","Standard Orders","Amazon","DENHAM SPRINGS","LA","70726","MarketplaceFacilitator","12.99","1.17","0","0","0","0","0","0","-0.65","0","-1.17","-1.85","-3.24","0","0","7.25"
"Apr 1, 2025 5:29:05 AM PDT","23267893001","Order","113-1815086-0041811","SYJ01-40","owosald 16.5""(40cm) Round Infinity Mirror Light, Black Wall Mounted Abyss Decorative Mirror, Multiple Light Changes","1","amazon.com","Standard Orders","Amazon","SURPRISE","AZ","85379","MarketplaceFacilitator","94.99","4.32","0","0","0","0","0","0","-47.50","0","-4.32","-7.12","-12.38","0","0","27.99"
"Apr 1, 2025 9:11:45 AM PDT","23267893001","Order","S01-9074096-1074801","TS-01-8PC","owosald 8"" Tabletop Lighted Makeup Mirror, 1X/10X Magnification, USB Rechargeable 2000mAh, Chrome, Adjustable Brightness, 360° Rotation","1","sim1.stores.amazon.com","Standard Orders","Amazon","MONTREAL","MO","65591","","0","0","0","0","0","0","0","0","0","0","0","0","-11.45","0","0","-11.45"
"Apr 1, 2025 2:50:40 PM PDT","23267893001","Service Fee","e1e461e0-3b0d-4619-bcd0-266d9c38b56a","","Coupon Redemption Fee: Save 5% on Stainless Steel s Hook","4","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-2.40","0","-2.40"
"Apr 2, 2025 12:29:11 AM PDT","23267893001","Order","112-6437801-0814656","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","HIGHLAND","NY","12528","MarketplaceFacilitator","11.99","0.96","0","0","0","0","0","0","0","0","-0.96","-1.80","-3.33","0","0","6.86"
"Apr 2, 2025 7:44:11 AM PDT","23267893001","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-439.57","0","-439.57"
"Apr 2, 2025 2:41:03 PM PDT","23267893001","Service Fee","e1e461e0-3b0d-4619-bcd0-266d9c38b56a","","Coupon Redemption Fee: Save 5% on Stainless Steel s Hook","2","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.20","0","-1.20"
"Apr 2, 2025 2:57:55 PM PDT","23267893001","Refund","111-5742002-5353836","GJ-JJ-01-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 10)","1","amazon.com","Standard Orders","Amazon","SEBASTIAN","FL","32976","MarketplaceFacilitator","-12.99","-0.86","0","0","0","0","0","0","0.65","0","0.86","1.48","0","0","0","-10.86"
"Apr 2, 2025 8:32:26 PM PDT","23267893001","Order","114-1792590-8750623","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","meadville","MO","64659","MarketplaceFacilitator","15.99","0.96","2.66","0","0","0","0","0","-2.66","0","-0.96","-2.40","-3.65","0","0","9.94"
"Apr 3, 2025 1:42:42 PM PDT","23267893001","Order","114-4146955-6395407","SYJ01-40","owosald 16.5""(40cm) Round Infinity Mirror Light, Black Wall Mounted Abyss Decorative Mirror, Multiple Light Changes","1","amazon.com","Standard Orders","Amazon","GEORGETOWN","FLORIDA","32139","MarketplaceFacilitator","99.99","3.50","0","0","0","0","0","0","-50.00","0","-3.50","-7.50","-12.38","0","0","30.11"
