"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Aug 1, 2025 6:47:22 PM PDT","24186286251","Refund","113-1320623-4257844","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","WEST BABYLON","NY","11704","MarketplaceFacilitator","-15.99","-1.40","-3.04","0","0","0","0","0","3.04","0","1.40","1.92","0","0","0","-14.07"
"Aug 2, 2025 5:04:17 AM PDT","24186286251","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-143.09","0","-143.09"
"Aug 3, 2025 12:07:08 AM PDT","24186286251","Order","113-4264500-0128251","CF-JJ-02-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 20)","1","amazon.com","Standard Orders","Amazon","KINGSPORT","TN","37663","MarketplaceFacilitator","16.99","1.53","0","0","0","0","0","0","-0.85","0","-1.53","-2.42","-4.15","0","0","9.57"
"Aug 3, 2025 10:55:11 AM PDT","24186286251","Order","112-6110799-5505008","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","ASTORIA","OR","97103","","14.84","0","0","0","0","0","0","0","0","0","0","-4.46","-3.65","0","0","6.73"
"Aug 3, 2025 10:55:11 AM PDT","24186286251","Order","112-6110799-5505008","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","ASTORIA","OR","97103","","14.84","0","0","0","0","0","0","0","0","0","0","0","-3.65","0","0","11.19"
"Aug 3, 2025 12:40:42 PM PDT","24186286251","Order","112-9125675-3486619","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","WALTHAM","MA","02453","MarketplaceFacilitator","15.99","1.00","0","0","0","0","0","0","0","0","-1.00","-2.40","-3.65","0","0","9.94"
"Aug 3, 2025 1:50:23 PM PDT","24186286251","Order","111-0498099-9992239","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","NORWALK","CT","06850","MarketplaceFacilitator","11.99","0.76","0","0","0","0","0","0","0","0","-0.76","-1.80","-3.33","0","0","6.86"
"Aug 3, 2025 9:09:39 PM PDT","24186286251","Order","112-8427431-6365038","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","DISCOVERY BAY","CA","94505","MarketplaceFacilitator","15.99","1.33","0","0","0","0","0","0","-0.80","0","-1.33","-2.28","-3.65","0","0","9.26"
"Aug 3, 2025 10:55:11 PM PDT","24186286251","Order","113-5215141-8076265","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","Carson","CA","90745","MarketplaceFacilitator","11.99","1.26","0","0","0","0","0","0","0","0","-1.26","-1.80","-3.33","0","0","6.86"
"Aug 4, 2025 1:31:27 AM PDT","24186286251","Order","111-5606582-8209840","TS-01WD9B","owosald 9"" Tabletop Mirror with 1X/10X Magnification, Black, 360° Rotatable Makeup Mirror for Teenagers, Beauty, Grooming and Skincare","1","amazon.com","Standard Orders","Amazon","ROCHESTER","MN","55901","MarketplaceFacilitator","20.99","1.71","0","0","0","0","0","0","0","0","-1.71","-3.15","-6.21","0","0","11.63"
